2021-03-13 22:57:45.941028: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
pybullet build time: Dec 23 2020 01:47:29
2021-03-13 22:57:55.498671: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-03-13 22:57:55.499782: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcuda.so.1
2021-03-13 22:57:55.543058: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:941] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2021-03-13 22:57:55.543738: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1720] Found device 0 with properties: 
pciBusID: 0000:01:00.0 name: Quadro K620 computeCapability: 5.0
coreClock: 1.124GHz coreCount: 3 deviceMemorySize: 1.96GiB deviceMemoryBandwidth: 26.82GiB/s
2021-03-13 22:57:55.543785: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:941] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2021-03-13 22:57:55.544403: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1720] Found device 1 with properties: 
pciBusID: 0000:05:00.0 name: Quadro K620 computeCapability: 5.0
coreClock: 1.124GHz coreCount: 3 deviceMemorySize: 1.96GiB deviceMemoryBandwidth: 26.82GiB/s
2021-03-13 22:57:55.544419: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
2021-03-13 22:57:55.546336: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcublas.so.11
2021-03-13 22:57:55.546369: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcublasLt.so.11
2021-03-13 22:57:55.547158: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcufft.so.10
2021-03-13 22:57:55.547340: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcurand.so.10
2021-03-13 22:57:55.549305: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcusolver.so.10
2021-03-13 22:57:55.549759: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcusparse.so.11
2021-03-13 22:57:55.549885: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'libcudnn.so.8'; dlerror: libcudnn.so.8: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /opt/ros/melodic/lib
2021-03-13 22:57:55.549894: W tensorflow/core/common_runtime/gpu/gpu_device.cc:1757] Cannot dlopen some GPU libraries. Please make sure the missing libraries mentioned above are installed properly if you would like to use GPU. Follow the guide at https://www.tensorflow.org/install/gpu for how to download and setup the required libraries for your platform.
Skipping registering GPU devices...
2021-03-13 22:57:55.550134: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-03-13 22:57:55.550527: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-03-13 22:57:55.550560: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1261] Device interconnect StreamExecutor with strength 1 edge matrix:
2021-03-13 22:57:55.550566: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1267]      
WalkerBase::__init__
episode: 0/500000, score: 408.5094872238304, avg_score: 408.5094872238304, ep_steps: 999, cumulus_steps: 999
episode: 1/500000, score: -1.0340226651766042, avg_score: 203.73773227932688, ep_steps: 92, cumulus_steps: 1091
episode: 2/500000, score: 4.011335249140393, avg_score: 137.16226660259807, ep_steps: 19, cumulus_steps: 1110
episode: 3/500000, score: 3.1186737101990722, avg_score: 103.65136837949831, ep_steps: 19, cumulus_steps: 1129
episode: 4/500000, score: 0.15517483993898984, avg_score: 82.95212967158645, ep_steps: 19, cumulus_steps: 1148
episode: 5/500000, score: -0.5030736156521023, avg_score: 69.04292912371335, ep_steps: 19, cumulus_steps: 1167
episode: 6/500000, score: 2.6757652149855855, avg_score: 59.56190570818081, ep_steps: 19, cumulus_steps: 1186
episode: 7/500000, score: 3.424857078226341, avg_score: 52.5447746294365, ep_steps: 19, cumulus_steps: 1205
episode: 8/500000, score: 2.659144302285859, avg_score: 47.00192681530866, ep_steps: 20, cumulus_steps: 1225
episode: 9/500000, score: 342.6068940304261, avg_score: 76.56242353682039, ep_steps: 999, cumulus_steps: 2224
episode: 10/500000, score: 400.42401802448944, avg_score: 106.00438667206303, ep_steps: 999, cumulus_steps: 3223
episode: 11/500000, score: 226.74493946610323, avg_score: 116.06609940489972, ep_steps: 999, cumulus_steps: 4222
episode: 12/500000, score: 193.82930921290685, avg_score: 122.04788477474641, ep_steps: 999, cumulus_steps: 5221
episode: 13/500000, score: 309.60585443586444, avg_score: 135.4448826076834, ep_steps: 999, cumulus_steps: 6220
episode: 14/500000, score: 472.0619254772468, avg_score: 157.88601879898764, ep_steps: 999, cumulus_steps: 7219
episode: 15/500000, score: 251.19950913779903, avg_score: 163.71811194516337, ep_steps: 999, cumulus_steps: 8218
episode: 16/500000, score: 553.3178877314306, avg_score: 186.63574581494382, ep_steps: 999, cumulus_steps: 9217
episode: 17/500000, score: 383.97729172853855, avg_score: 197.59916503236573, ep_steps: 999, cumulus_steps: 10216
episode: 18/500000, score: 308.650127339533, avg_score: 203.44395252221665, ep_steps: 999, cumulus_steps: 11215
episode: 19/500000, score: 381.9195461140753, avg_score: 212.3677322018096, ep_steps: 999, cumulus_steps: 12214
episode: 20/500000, score: 460.0138773127545, avg_score: 224.16040577852124, ep_steps: 999, cumulus_steps: 13213
episode: 21/500000, score: 27.398199681749976, avg_score: 215.2166691377589, ep_steps: 56, cumulus_steps: 13269
episode: 22/500000, score: 341.2882819135471, avg_score: 220.69804360627148, ep_steps: 660, cumulus_steps: 13929
episode: 23/500000, score: 58.737872680355174, avg_score: 213.94970315102492, ep_steps: 206, cumulus_steps: 14135
episode: 24/500000, score: 116.48432894041471, avg_score: 210.0510881826005, ep_steps: 205, cumulus_steps: 14340
episode: 25/500000, score: 508.4687646887508, avg_score: 221.52869112514475, ep_steps: 999, cumulus_steps: 15339
episode: 26/500000, score: 4.062167870141273, avg_score: 213.4743754490335, ep_steps: 19, cumulus_steps: 15358
episode: 27/500000, score: 15.355953469814267, avg_score: 206.39871752120422, ep_steps: 45, cumulus_steps: 15403
episode: 28/500000, score: 4.943728886074678, avg_score: 199.45199377516528, ep_steps: 19, cumulus_steps: 15422
episode: 29/500000, score: 265.8133526119503, avg_score: 201.66403906972477, ep_steps: 592, cumulus_steps: 16014
episode: 30/500000, score: 94.59430583468927, avg_score: 198.21017670730427, ep_steps: 297, cumulus_steps: 16311
episode: 31/500000, score: 202.0253851476374, avg_score: 198.32940197106473, ep_steps: 539, cumulus_steps: 16850
episode: 32/500000, score: 332.60263138891725, avg_score: 202.39828771099965, ep_steps: 999, cumulus_steps: 17849
episode: 33/500000, score: 317.66237546757617, avg_score: 205.78840793913426, ep_steps: 999, cumulus_steps: 18848
